,Unnamed: 0,product_id,price,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
82,82,00c1e6d55fe174bfbb179257255e49bb,146.65,cool_stuff,56.0,1027.0,1.0,187.0,17.0,13.0,14.0
620,620,052bc62f1969b8f09b1c3cd6f67e099d,26.545,papelaria,54.0,146.0,1.0,600.0,29.0,4.0,24.0
863,863,06bb6e704f99920f51dbbb0559187d98,155.79000000000002,cool_stuff,56.0,865.0,1.0,700.0,21.0,18.0,23.0
3421,3421,19dcb307b859214c546c3726043e9c2f,138.6,cool_stuff,57.0,1507.0,3.0,725.0,31.0,23.0,25.0
3453,3453,1a0ef485e35802dd1d23ab5446cac458,242.0,cine_foto,56.0,1451.0,1.0,1540.0,47.0,19.0,19.0
4114,4114,1f13ebbc80d3713a1abdd12696605956,85.95,consoles_games,57.0,799.0,1.0,775.0,29.0,21.0,25.0
5426,5426,291c7fc5097e83062a4377ca30c6b834,45.6,telefonia,42.0,509.0,1.0,350.0,17.0,7.0,28.0
5821,5821,2c36bd802c645850497100e08f9dfc80,358.8,beleza_saude,55.0,931.0,1.0,3598.0,41.0,18.0,51.0
6974,6974,35a3e0dd6e0b5b84dfd2997546da5df8,292.0,esporte_lazer,59.0,495.0,1.0,2886.0,45.0,17.0,56.0
7523,7523,39e97f6d709c48e6b1cba11db9f0f545,43.2,consoles_games,32.0,208.0,1.0,300.0,19.0,3.0,30.0
7985,7985,3d48e45c02063f74b3a9147ce7ab5196,15.9,papelaria,58.0,393.0,2.0,200.0,16.0,3.0,11.0
8237,8237,3f27ac8e699df3d300ec4a5d8c5cf0b2,639.0,consoles_games,37.0,1172.0,2.0,200.0,16.0,5.0,12.0
9266,9266,47376be1404bbe927766e8a9011714cb,27.641666666666666,cool_stuff,51.0,741.0,7.0,225.0,18.0,8.0,16.0
9627,9627,49f17b59ebac14a6497df46ba7c23c5c,193.65,cine_foto,55.0,428.0,3.0,350.0,16.0,14.0,24.0
12600,12600,617a578b153fcf293811a090d2f0a02c,20.25,cool_stuff,57.0,422.0,2.0,80.0,19.0,11.0,11.0
13157,13157,65d5bf9ec18c2fd1bd7c9ff9b935a320,76.2,beleza_saude,43.0,388.0,1.0,538.0,24.0,18.0,19.0
13723,13723,6a09d996beaebffe169f70c614ac2485,63.833333333333336,informatica_acessorios,57.0,317.0,1.0,170.0,23.0,11.0,26.0
14709,14709,71a6eaa72a4e40ad63210b0f88fb65a9,21.49,papelaria,28.0,84.0,1.0,550.0,24.0,3.0,30.0
16510,16510,7fb06133a9a56c3d8a2819e9f4d45422,129.73333333333335,construcao_ferramentas_construcao,54.0,433.0,1.0,1050.0,16.0,8.0,90.0
17790,17790,8a7ad449048d596dc042ad6dfe5e8386,59.85,cool_stuff,48.0,1087.0,2.0,800.0,26.0,22.0,33.0
18509,18509,8fc20e5093a3fce66e664f0f066e1a75,10.25,papelaria,37.0,129.0,2.0,80.0,17.0,9.0,14.0
19291,19291,96627b65a0070635b620d07f97e63347,76.65,cine_foto,57.0,385.0,1.0,550.0,23.0,21.0,21.0
20950,20950,a300dd822c0e15dd16ecc317522eefcf,71.4,informatica_acessorios,55.0,579.0,1.0,150.0,16.0,11.0,11.0
21071,21071,a41e24aae442561fb4a9ef505ff1d55f,27.75,papelaria,36.0,495.0,1.0,250.0,19.0,3.0,14.0
22353,22353,ae7937db16790e94d48df1991877b508,71.1,cool_stuff,58.0,860.0,3.0,400.0,16.0,10.0,12.0
22642,22642,b06abefe5a65500e5a93851ad2fc8900,74.7,esporte_lazer,54.0,571.0,3.0,552.0,22.0,16.0,18.0
23848,23848,b99a3303b1ac44f41d753c36cb68b5b3,115.3,construcao_ferramentas_construcao,47.0,477.0,1.0,1633.0,32.0,18.0,26.0
24217,24217,bc761b82b8d1a7de5bb80fc34eff146e,31.9,eletronicos,39.0,697.0,1.0,625.0,31.0,17.0,23.0
24846,24846,c1343b2f78e0f750b57cb917529039ee,30.3,papelaria,55.0,567.0,1.0,230.0,20.0,10.0,15.0
25973,25973,c9a5cd871df02fbd050ef58ef9a64510,133.05,cool_stuff,56.0,1400.0,2.0,585.0,21.0,20.0,19.0
26710,26710,cf42d2701c959607c1875764e88c7266,27.6,cool_stuff,34.0,365.0,1.0,517.0,25.0,18.0,22.0
27203,27203,d31d37381e5760bb91654d898e9c1a73,538.0,beleza_saude,57.0,1453.0,1.0,5690.0,33.0,28.0,19.0
27242,27242,d35839b7d99e82c6541eae7a3cc1f527,29.7,papelaria,38.0,519.0,1.0,250.0,19.0,11.0,14.0
27244,27244,d35d1fa56f3c5a2777f5542a84a085dd,1013.4,cool_stuff,43.0,712.0,2.0,5288.0,32.0,26.0,45.0
28362,28362,dc0289c8cd78fb2f6c41bb8be865cbec,42.6,informatica_acessorios,57.0,596.0,1.0,100.0,18.0,11.0,12.0
28857,28857,dffb26377d60bf9bd5bd4cd856e9dbb4,64.98,telefonia_fixa,49.0,700.0,2.0,1100.0,16.0,21.0,18.0
28874,28874,e0155093e5732c2307de4c66394a72a3,14.85,informatica_acessorios,51.0,349.0,1.0,70.0,19.0,12.0,13.0
28882,28882,e025f288e09da35a510433c3180b10f1,65.85,construcao_ferramentas_construcao,51.0,531.0,1.0,470.0,21.0,14.0,18.0
29371,29371,e424f69523d159f82480c01a1ebf9f7e,143.71428571428572,esporte_lazer,38.0,1080.0,6.0,1025.0,40.0,17.0,36.0
31473,31473,f46c384460008df0071849d01b39834f,58.9,esporte_lazer,53.0,527.0,2.0,700.0,23.0,9.0,11.0
31901,31901,f7d67abec0a2ed71d5125e6eecbd8db9,24.75,consoles_games,41.0,393.0,1.0,400.0,19.0,9.0,17.0
